ID Sk,Word Sk,Frequency Sk,Type Sk,Page Sk,ID Cz,Word G Cz,Page G Cz,Word N Cz,Frequency Cz,Page Cz,Comment
,absencia,1,6,126,390,absence,194,absence,6,26,
,absolutizácia,1,6,123,195,absolutizace,189,absolutizace,6,24,
,absorbcia,1,6,126,407,absorpce,194,absorpce,12,27,
169,abstrakcia,7,6,124,336,abstrakce,193,abstrakce,6,26,
,adaptabilnosť,1,8,537,1090,adaptabilnosti,237,adaptabilnost,1,121,
,adaptácia,1,6,121,130,adaptace,189,adaptace,15,24,
,adekvátnosť,1,8,541,1162,adekvátnosti,238,adekvátnost,2,121,
,admitancia,1,6,125,370,admitance,193,admitance,20,26,
,afektovanosť,1,8,532,973,afektovanosti,236,afektovanost,1,119,
,,,,,1011,afilozofičnosti,236,afilozofičnost,1,120,
,agitácia,1,6,121,113,agitace,188,agitace,8,24,
,aglomerácia,1,6,120,87,aglomerace,188,aglomerace,2,23,
,agresia,1,6,135,664,agrese,203,agrese,4,30,
224,akadémia,5,6,131,516,akademie,198,akademie,38,28,
,akcelerácia,1,6,120,86,akcelerace,188,akcelerace,7,23,
164,akcia,26,6,124,330,akce,193,akce,172,26,
,aklimatizácia,1,6,123,192,aklimatizace,189,aklimatizace,1,24,
,akomodácia,1,6,117,4,akomodace,187,akomodace,3,23,
515,akosť,9,8,528,914,jakosti,235,jakost,83,119,
,Akropola,1,5,190,630,akropole,201,akropole,1,29,
,aktivizácia,1,6,123,196,aktivizace,189,aktivizace,3,24,
,,,,,107,akulturace,188,akulturace,4,24,
121,akumulácia,5,6,119,51,akumulace,188,akumulace,12,23,
,akvizícia,1,6,124,317,akvizice,192,akvizice,4,26,
,alchýmia,1,6,132,530,alchymie,198,alchymie,1,28,
268,aleja,6,6,137,607,aleje,199,alej,3,90,
,alkália,1,6,130,502,alkálie,197,alkálie,4,28,
,,,,,428,Amarancie,197,Amarancie,1,27,
152,ambícia,2,6,124,207,ambice,190,ambice,1,24,
,amnestia,1,6,136,588,amnestie,198,amnestie,9,28,
,,,,,598,amnézie,199,amnézie,2,29,
,analógia,1,6,128,462,analogie,197,analogie,11,27,
216,anarchia,2,6,130,,anarchie,,anarchie,1,,
,anatómia,1,6,131,527,anatomie,198,anatomie,1,28,
94,Anča,4,6,111,,Anči,,Anča,1,,
,angažovanosť,1,8,532,976,angažovanosti,236,angažovanost,21,119,
,Anglia,1,6,130,510,Anglie,197,Anglie,22,28,
,anizotropia,1,6,133,548,anizotropie,198,anizotropie,1,28,
,anomália,1,6,130,503,anomálie,197,anomálie,18,28,
,anotácia,1,6,121,128,anotace,189,anotace,1,24,
,anticipácia,1,6,120,79,anticipace,188,anticipace,2,23,
,antipatia,1,6,136,584,antipatie,198,antipatie,1,28,
115,aplikácia,3,6,118,27,aplikace,187,aplikace,77,23,
,aproximácia,1,6,119,57,aproximace,188,aproximace,25,23,
,arália,1,6,130,505,arálie,197,arálie,1,28,
,arbitráž,1,7,725,737,arbitráže,204,arbitráž,3,163,
,archeológia,1,6,128,466,archeologie,197,archeologie,12,27,
,argumentácia,1,6,121,122,argumentace,189,argumentace,5,24,
,ária,1,6,134,550,árie,198,árie,5,28,
,,,,,490,aristologie,197,aristologie,1,28,
,artikulácia,1,6,119,46,artikulace,188,artikulace,8,23,
,asanácia,1,6,119,63,asanace,188,asanace,5,23,
,asimilácia,1,6,119,40,asimilace,188,asimilace,6,23,
,asociácia,1,6,118,11,asociace,187,asociace,8,23,
,ašpirácia,1,6,120,94,aspirace,188,aspirace,3,23,
228,astronómia,4,6,131,524,astronomie,198,astronomie,28,28,
,atraktívnosť,1,8,543,1194,atraktivnosti,238,atraktivnost,1,122,
219,Austrália,3,6,130,506,Austrálie,197,Austrálie,4,28,
,autogenéza,1,5,219,705,autogeneze,204,autogeneze,1,30,
,automatizácia,1,6,123,193,automatizace,189,automatizace,16,24,
,autonómia,1,6,131,525,autonomie,198,autonomie,3,28,
,,,,,153,autosocializace,189,autosocializace,1,24,
,,,,,473,axiologie,197,axiologie,1,28,
258,Ázia,10,6,136,579,Asie,198,Asie,13,28,
399,báj,4,7,291,603,báje,199,báje,1,29,
399,báj,4,7,291,603,báje,199,báj,1,90,
,baktéria,1,6,134,565,baktérie,198,baktérie,17,28,
291,baňa,32,6,201,,,,,0,,
442,báseň,32,7,358,804,básně,210,báseň,12,104,
,batéria,1,6,134,553,baterie,198,baterie,6,28,
,báza,8,5,219,696,báze,204,báze,28,30,
452,bázeň,8,7,358,,bázně,,bázeň,1,,
,beletria,1,6,135,574,beletrie,198,beletrie,1,28,
,beletrizácia,1,6,123,188,beletrizace,189,beletrizace,1,24,
,Belgia,1,6,128,460,Belgie,197,Belgie,8,27,
255,beštia,2,6,136,,bestie,,bestie,1,28,
633,bezdejinnosť,2,8,539,,,,,0,,
360,bezmoc,2,8,232,856,bezmoci,226,bezmoc,1,20,
573,bezmocnosť,10,8,532,,bezmocnosti,,bezmocnost,1,120,
581,bezpečnosť,14,8,533,1001,bezpečnosti,236,bezpečnost,105,120,
589,bezradnosť,3,8,534,,bezradnosti,,bezradnost,1,120,
,bibliografia,1,6,127,443,bibliografie,197,bibliografie,36,27,
455,bielizeň,12,7,358,,bělizny,,bělizna,1,,
179,bilancia,2,6,125,365,bilance,193,bilance,20,26,
,biografia,1,6,127,442,biografie,197,biografie,1,27,
211,biológia,12,6,128,,biologie,,biologie,6,27,
605,blaženosť,2,8,536,,blaženosti,,blaženost,1,,
,,,,,908,blbosti,235,blbost,2,119,
530,blízkosť,22,8,530,924,blízkosti,235,blízkost,37,119,
325,bohyňa,11,6,203,814,bohyně,210,bohyně,2,35,
,bojovnosť,1,8,543,1199,bojovnosti,238,bojovnost,5,122,
,Boleslav,1,1,560,1300,Boleslavi,240,Boleslav,2,124,
499,bolesť,64,8,528,898,bolesti,235,bolest,12,119,
86,borovica,6,6,110,,borovice,,borovice,5,26,
,bradavica,1,6,110,310,bradavice,192,bradavice,1,26,
222,Brazília,2,6,130,,Brazílie,,Brazílie,1,,
,,,,,786,Bretaně,209,Bretaň,2,104,
,,,,,1290,březosti,239,březost,1,123,
,,,,,679,Brigitte,203,Brigitte,1,30,
230,Británia,4,6,132,533,Británie,198,Británie,4,28,
,brokovnica,1,6,109,284,brokovnice,191,brokovnice,1,25,
329,broskyňa,3,6,203,,,,,0,,
,brusnica,1,6,109,274,Brusnice,191,Brusnice,3,25,
101,bryndza,4,6,115,,brynzy,,brynza,1,,
730,Budapešť,30,8,549,,Budapešti,,Budapešť,6,123,
574,budúcnosť,102,8,532,993,budoucnosti,236,budoucnost,64,120,
731,Bukurešť,2,8,549,,Bukurešti,,Bukurešť,3,123,
259,buržoázia,15,6,137,594,buržoazie,199,buržoazie,22,28,
,,,,,671,Butovse,203,Butoves,1,113,
409,byľ,10,7,319,,býlí,,býlí,1,,
107,byrokracia,2,6,117,,byrokracie,,byrokracie,1,,
67,bystrica,16,6,110,301,Bystřice,192,Bystřice,4,25,
698,bytosť,21,8,546,1244,bytosti,239,bytost,37,122,
,Byzancia,1,6,125,374,Byzance,193,Byzanc,3,20,
431,čakáreň,7,7,357,,čekárny,,čekárna,7,11,
59,čapica,3,6,110,295,čepice,191,čepice,2,25,
332,čaša,9,6,208,,číše,,číše,1,,
332,čaša,9,6,208,,číše,,číš,1,,
,čašnica,1,6,109,275,číšnice,191,číšnice,2,25,
487,časť,202,8,527,896,části,235,část,518,119,
70,častica,5,6,110,308,částice,192,částice,123,26,
,častosť,1,8,545,1242,častosti,239,častost,1,122,
370,čeľaď,2,7,240,860,čeledi,227,čeleď,13,23,
543,celosť,2,8,530,,celosti,,celost,1,,
729,čeľusť,7,7,549,902,čelisti,235,čelist,29,119,
,centrálnosť,1,8,537,1075,centrálnosti,237,centrálnost,1,120,
403,čepeľ,9,7,317,615,čepele,200,čepel,6,97,
315,čerešňa,28,6,202,807,třešně,210,třešně,8,34,
315,čerešňa,28,6,202,808,třešňe,210,třešeň,7,104,
,černozem,1,7,321,781,černozemě,208,černozem,2,100,
497,česť,57,8,527,877,cti,235,čest,8,119,
,čestnosť,1,8,542,1174,čestnosti,238,čestnost,8,121,
,,,,,1163,četnosti,238,četnost,15,121,
,chamtivosť,1,8,548,1277,chamtivosti,239,chamtivost,1,122,
366,chatrč,3,7,236,,chatrče,,chatrč,1,,
225,chémia,5,6,131,517,chemie,198,chemie,24,28,
,chemikália,1,6,130,501,chemikálie,197,chemikálie,11,28,
215,chirurgia,2,6,130,,chirurgie,,chirurgie,1,,
314,chlopňa,6,6,202,,chlopně,,chlopeň,1,,
,chmúrnosť,1,8,541,1143,chmurnosti,238,chmurnost,1,121,
,chobotnica,1,6,109,279,chobotnice,191,chobotnice,1,25,
102,chôdza,7,6,115,730,chůze,204,chůze,4,30,
,choreografia,1,6,127,441,choreografie,197,choreografie,3,27,
734,chuť,111,8,549,1296,chuti,240,chuť,31,123,
275,chvíľa,393,6,191,624,chvíle,200,chvíle,92,29,
349,chyža,5,6,222,,chýše,,chýše,2,30,
284,cibuľa,4,6,191,639,cibule,201,cibule,7,29,
631,činnosť,98,8,539,1117,činnosti,237,činnost,550,121,
737,cirkev,14,8,560,681,církve,203,církev,22,124,
,čírosť,1,8,544,1224,čirosti,239,čirost,1,122,
19,číslica,7,6,107,,číslice,,číslice,1,25,
713,citlivosť,6,8,547,1266,citlivosti,239,citlivost,14,122,
145,civilizácia,7,6,122,172,civilizace,189,civilizace,37,24,
569,cnosť,3,8,532,,,,,0,,
